Destination,Links
Pettah Floating Market Area,https://www.tripadvisor.com/Attraction_Review-g293962-d8702174-Reviews-Pettah_Floating_Market-Colombo_Western_Province.html
Colombo Gold Centre,https://www.tripadvisor.com/Attraction_Review-g293962-d13964616-Reviews-Colombo_Gold_Center-Colombo_Western_Province.html
Colombo Lotus Tower,https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html
Diyatha Uyana (Battaramulla),https://www.tripadvisor.com/Attraction_Review-g3723942-d5461731-Reviews-Diyatha_Uyana-Kotte_Western_Province.html
Port City Colombo Promenade,https://www.tripadvisor.com/Attraction_Review-g293962-d23845581-Reviews-Port_City_Promenade-Colombo_Western_Province.html
Nelum Pokuna Theatre,https://www.tripadvisor.com/Attraction_Review-g293962-d6158266-Reviews-Nelum_Pokuna_Mahinda_Rajapaksa_Theatre-Colombo_Western_Province.html
Bandaranaike Memorial International Conference Hall,https://www.tripadvisor.com/Attraction_Review-g293962-d10583627-Reviews-Bandaranaike_Memorial_International_Conference_Hall-Colombo_Western_Province.html
Odel Mall  Kandy,https://www.tripadvisor.com/Attraction_Review-g304138-d25392164-Reviews-ODEL_Mall_Kandy-Kandy_Kandy_District_Central_Province.html
Cargills Square  Jaffna,https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html
Manalkadu Beach,https://www.tripadvisor.com/Attraction_Review-g304135-d19432961-Reviews-Manalkadu_Beach-Jaffna_Northern_Province.html
Kankesanthurai Beach,https://www.tripadvisor.com/Attraction_Review-g304135-d19432162-Reviews-Kankesanthurai_Beach-Jaffna_Northern_Province.html
Water World Lanka,https://www.tripadvisor.com/Attraction_Review-g3595837-d3613552-Reviews-Water_World_Lanka-Kelaniya_Western_Province.html
Leisure World Water Park,https://www.tripadvisor.com/Attraction_Review-g293962-d7620930-Reviews-Leisure_World_Water_Park-Colombo_Western_Province.html
Pearl Bay,https://www.tripadvisor.com/Attraction_Review-g7644844-d21111465-Reviews-Pearl_Bay-Bandaragama_Western_Province.html
Wedasiti Kanda Viharaya,https://www.tripadvisor.com/Attraction_Review-g1188994-d16966696-Reviews-Wedasiti_Kanda_Viharaya-Kataragama_Uva_Province.html
Kalu Diya Pokuna Natural Black Water Pond,https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html
Ranmasu Uyana,https://www.tripadvisor.com/Attraction_Review-g304132-d3912147-Reviews-Ranmasu_Uyana-Anuradhapura_North_Central_Province.html
Sakwala Chakraya (Star Gate),https://www.tripadvisor.com/Attraction_Review-g304132-d11666023-Reviews-Sakwala_Chakraya_Star_Gate-Anuradhapura_North_Central_Province.html
Lovamahapaya,https://www.tripadvisor.com/Attraction_Review-g304132-d4034689-Reviews-Lovamahapaya-Anuradhapura_North_Central_Province.html
Mirisaveti Stupa,https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html
Vessagiriya Ruins,https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html
Moonstone or Sandakada pahana,https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html
Galle International Cricket Stadium,https://www.tripadvisor.com/Attraction_Review-g297896-d13951547-Reviews-Galle_International_Cricket_Stadium-Galle_Galle_District_Southern_Province.html
Mahinda Rajapaksa International Cricket Stadium,https://www.tripadvisor.com/Attraction_Review-g1027209-d8042025-Reviews-Mahinda_Rajapaksa_International_Cricket_Stadium-Hambantota_Tangalle_Southern_Pro.html
Paikiasothy Saravanamuttu Stadium,https://www.tripadvisor.com/Attraction_Review-g293962-d19122547-Reviews-Paikiasothy_Saravanamuttu_Stadium-Colombo_Western_Province.html
Pallekele International Cricket Stadium,https://www.tripadvisor.com/Attraction_Review-g304138-d3668268-Reviews-Pallekele_International_Cricket_Stadium-Kandy_Kandy_District_Central_Province.html
Rangiri Dambulla International Stadium,https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html
R. Premadasa Stadium,https://www.tripadvisor.com/Attraction_Review-g293962-d3548025-Reviews-R_Premadasa_Stadium-Colombo_Western_Province.html
